1,Kelly,Simpson,+1-649-733-5896,Sat Nov 13 1971 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),59,6,sous-chef,https://picsum.photos/741/76,ehayden,&wz7EFtB2*
2,Donna,Pratt,617-728-5473,Wed Dec 17 1997 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),48,7,first cook,https://picsum.photos/706/572,fergusonamy,mrT2XQ0F_4
3,Elizabeth,Kim,923.752.1870x0766,Sat Dec 21 1991 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),29,6,second cook,https://picsum.photos/457/13,williamsjoshua,#ncT$6Ow^n
4,Christopher,Williams,6555824646,Fri Nov 21 1969 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),48,8,second cook,https://dummyimage.com/699x541,vbenson,LM1Pl67y(1
5,Chad,Vaughan,(920)588-5890x366,Thu Dec 08 1977 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),39,8,third cook,https://dummyimage.com/590x790,vbyrd,*fymlRR!n8
6,Alicia,Zuniga,558.616.8035,Mon May 25 1998 00:00:00 GMT+0300 (Θερινή ώρα Ανατολικής Ευρώπης),60,5,second cook,https://dummyimage.com/609x141,kaylafrancis,k9AL3K&5+O
7,Michael,Huber,+1-978-650-3011x04610,Thu Mar 21 1963 00:00:00 GMT+0200 (Χειμερινή ώρα Ανατολικής Ευρώπης),31,6,sous-chef,https://picsum.photos/961/456,dtucker,M8WpSnnw@(
8,Heather,Parker,378-364-6513x804,Sun Jun 06 1993 00:00:00 GMT+0300 (Θερινή ώρα Ανατολικής Ευρώπης),37,10,sous-chef,https://dummyimage.com/974x91,swalker,uF1kI7Pei@
9,Traci,Olson,001-955-640-4814x81532,Sun May 17 1964 00:00:00 GMT+0200 (Θερινή ώρα Ανατολικής Ευρώπης),42,7,first cook,https://placekitten.com/29/215,johnsonfrank,(f5GAwb4Lt
10,Gail,Williams,541-584-9200,Sat Jul 29 1967 00:00:00 GMT+0200 (Θερινή ώρα Ανατολικής Ευρώπης),56,4,second cook,https://dummyimage.com/127x29,erin80,&f1VJCrqQp
