cook_id,first_name,last_name,phone_number,birth_date,age,years_of_experience,position,cook_img,username,password
1,Thomas,Guerrero,(904)575-7067,1981-06-13,49,9,second cook,https://placekitten.com/780/145,kstewart,!YLlIKxm2f
2,Charles,Williams,(614)855-7984,1972-05-03,51,9,second cook,https://placekitten.com/8/806,alexandria64,L)1w7^BacU
3,Wesley,Frye,594-927-7981x286,1965-06-01,31,5,sous-chef,https://dummyimage.com/7x275,smonroe,_4ODsr1Hbg
4,Jeffery,Espinoza,(536)654-7381x20731,1995-11-14,56,4,sous-chef,https://placekitten.com/364/377,bfisher,o(5EFhpYGL
5,Daniel,Williamson,463-334-7023,1984-07-26,30,10,sous-chef,https://picsum.photos/733/801,fkeith,&2SG7b$2#6
6,Christie,Gilbert,001-679-669-7366,1971-03-20,39,1,second cook,https://dummyimage.com/424x660,johnsoncynthia,+o!Ny6aW)4
7,Andrew,Martinez,+1-837-540-1045x2497,1984-02-04,40,1,second cook,https://picsum.photos/391/280,annaadams,O4(ts5Gt#Z
8,Christian,Taylor,421.753.2871x583,1973-03-28,29,3,third cook,https://dummyimage.com/826x473,eric57,4NUPowtz#x
9,April,Horn,918.884.1418x622,1964-03-20,40,4,first cook,https://picsum.photos/922/1024,martinezsavannah,%3o5H2(b^7
10,Connie,Hendrix,498.453.5571,1987-07-12,37,10,second cook,https://dummyimage.com/829x690,harrisdeborah,7UWpXHtq#+
11,Rebekah,Ward,295-219-1904x0153,1977-12-19,60,1,chef,https://dummyimage.com/177x258,danieldavenport,TrGUbO49&7
12,Brittany,Miller,001-353-600-4909x9923,1975-09-15,58,2,first cook,https://picsum.photos/297/993,turnercandice,_8RCBsd0&k
13,Erin,Richards,(668)704-7975x74457,1984-02-19,58,9,sous-chef,https://placekitten.com/801/890,michelle95,lo*f4Rha3n
14,Jennifer,Berry,460.382.7330,1981-12-12,36,10,first cook,https://dummyimage.com/431x155,michael79,!tI$1BGf*p
15,Casey,Parks,719.980.3334x42626,1999-04-13,55,6,first cook,https://dummyimage.com/747x407,traceygreene,SDm4yD%s*V
16,Rachel,Wells,001-676-246-6077x55669,1975-12-24,42,2,third cook,https://placekitten.com/191/618,gdaniel,+0MCZnAMDK
17,Jared,Martinez,523.665.4337,1998-05-19,26,4,second cook,https://placekitten.com/883/354,julie74,c#o5YjYp#*
18,Michael,Garcia,619-471-3545x49245,1991-11-28,38,3,first cook,https://placekitten.com/907/797,cervanteskimberly,YtbdMfMT^4
19,Nicholas,Le,746-834-4903,1995-05-17,57,9,second cook,https://dummyimage.com/121x927,chandlermelissa,0$J)pCei#Q
20,Lisa,Jones,732-505-3041x34968,1976-01-28,46,9,chef,https://placekitten.com/344/757,courtney26,MXCoKg2T_6
21,Marcia,Tapia,001-992-694-5026x26744,1983-06-26,47,10,second cook,https://picsum.photos/456/20,jacob45,!7G6sOq$87
22,Mathew,Murphy,001-904-845-8687x5451,1987-11-21,33,3,first cook,https://placekitten.com/516/299,iosborne,AX+g5xxY%1
23,Troy,Khan,486-209-2853x86051,1985-02-06,58,8,sous-chef,https://placekitten.com/118/446,hhuang,#&6zYtD7(a
24,John,Huerta,+1-793-837-1572x801,1985-06-02,43,7,third cook,https://dummyimage.com/756x804,kevincoleman,VD8p$YdIv&
25,Kimberly,Stephenson,001-220-878-5452,1974-02-10,45,5,first cook,https://placekitten.com/678/639,jorge18,$V8u#yTz!7
26,David,Lara,001-998-566-4418x3349,1975-03-16,47,3,first cook,https://dummyimage.com/918x483,meyersstacy,+V5R5q3wXD
27,Cody,Moore,+1-513-566-0192,1972-04-18,48,10,first cook,https://picsum.photos/600/386,beckerelizabeth,qtX3_Kwh0#
28,William,Smith,001-460-420-4006x6040,1993-02-25,48,9,first cook,https://dummyimage.com/93x32,schmidtcynthia,7SH3Jzaht!
